Symbol,Company,Composite,EPS,RS,SMR,OffHigh,Price,Vol
ARQT,Arcutis Biotherapeutics,97.0,71.0,98.0,D,2.7,30.92,13.0
TVTX,Travere Therapeutics Inc,98.0,81.0,97.0,D,-3.1,35.66,-46.0
ANAB,Anaptysbio Inc,96.0,61.0,97.0,D,2.9,42.07,-10.0
STOK,Stoke Therapeutics Inc,77.0,16.0,98.0,D,-21.8,30.26,-54.0
FIX,COMFORT SYSTEMS U S A,99.0,99.0,96.0,A,-8.1,936.64,50.0
MU,MICRON TECHNOLOGY INC,99.0,82.0,97.0,A,-14.1,224.06,-17.0
TARS,Tarsus Pharmaceuticals,93.0,45.0,95.0,D,-0.4,82.16,-48.0
PACS,PACS Group,99.0,85.0,98.0,A,8.7,30.24,179.0
APH,AMPHENOL CORP CL A,99.0,99.0,94.0,A,-4.6,137.93,-13.0
AU,ANGLOGOLD ASHANTI ADS,99.0,81.0,97.0,A,-2.9,83.4,-25.0
KGC,KINROSS GOLD CORP,99.0,96.0,96.0,A,-7.3,25.83,-51.0
ARGX,Argenx SE Ads,99.0,83.0,93.0,C,-3.0,906.85,60.0
GH,Guardant Health Inc,92.0,31.0,98.0,D,1.5,111.51,-17.0
TFPM,Triple Flag Precious Met,99.0,99.0,93.0,A,-6.7,31.32,-58.0
LLY,Eli Lilly & Co,99.0,98.0,93.0,A,-0.1,1065.31,-17.0
NTRA,Natera Inc,85.0,1.0,93.0,C,1.0,238.25,44.0
ZYME,Zymeworks inc,95.0,57.0,96.0,D,-4.8,24.92,117.0
TMDX,Transmedics Group Inc,99.0,83.0,92.0,A,-4.0,139.26,3.0
FROG,Jfrog Ltd,98.0,98.0,93.0,A,-6.7,61.1,-6.0
HWM,Howmet Aerospace Inc,97.0,99.0,91.0,A,-5.6,200.12,-26.0
ONC,BeiGene ADR,97.0,83.0,92.0,C,-13.7,332.56,148.0
WGS,GeneDx Holdings,99.0,81.0,94.0,B,9.0,160.87,45.0
FIVE,Five Below Inc,95.0,96.0,93.0,A,-7.0,157.33,-24.0
AXSM,Axsome Therapeutics Inc,89.0,34.0,90.0,D,0.7,150.66,-25.0
RL,Ralph Lauren Corp Cl A,99.0,98.0,90.0,A,2.1,350.33,-17.0
PWR,QUANTA SERVICES INC,98.0,98.0,90.0,A,-5.5,443.23,-31.0
RIGL,RIGEL PHARMACEUTICALS,98.0,81.0,96.0,..,4.6,49.56,11.0
INSM,INSMED INC,75.0,16.0,98.0,..,-0.8,206.15,8.0
LMND,Lemonade Inc,73.0,40.0,95.0,D,-13.0,72.9,-33.0
GOOGL,Alphabet Inc Cl A,99.0,92.0,95.0,A,4.0,318.65,74.0
NXT,NEXTracker,98.0,97.0,95.0,A,-22.9,86.81,-49.0
B,Barrick Mining,99.0,89.0,96.0,A,1.3,39.29,-9.0
CTRE,Caretrust Reit,97.0,85.0,87.0,A,-2.9,36.49,-49.0
KRYS,Krystal Biotech Inc,99.0,82.0,92.0,A,0.4,215.59,-40.0
SPXC,S P X Technologies Inc,99.0,97.0,87.0,A,-9.3,211.99,-26.0
IDXX,IDEXX LABORATORIES INC,95.0,91.0,93.0,A,1.5,747.74,16.0
GMED,Globus Medical Inc Cl A,98.0,95.0,89.0,B,-7.5,87.88,42.0
COCO,Vita Coco Company Inc,97.0,93.0,91.0,A,2.4,51.62,42.0
ENSG,ENSIGN GROUP INC,98.0,95.0,88.0,A,-4.7,185.16,-31.0
NU,Nu Holdings Ltd Cl A Ads,97.0,74.0,89.0,A,-4.1,15.87,-42.0
ASND,Ascendis Pharma A/S Ads,89.0,45.0,90.0,D,-6.0,209.87,-8.0
UHS,UNIVERSAL HEALTH SVCS B,96.0,93.0,88.0,B,1.1,238.11,-3.0
MNST,Monster Beverage Corp,98.0,94.0,87.0,A,0.6,73.53,-23.0
RYAAY,RYANAIR HLDGS PLC ADR,94.0,98.0,83.0,A,-3.6,64.82,-16.0
DOCN,Digitalocean Holdings,90.0,89.0,91.0,..,-13.6,45.09,-68.0
ZWS,Zurn Elkay Water Solut,93.0,95.0,84.0,B,-5.6,47.22,-56.0
BBVA,BANCO BILBAO VIZ ARG ADR,95.0,85.0,93.0,..,-6.6,20.65,-34.0
AMBA,Ambarella Inc,96.0,81.0,88.0,C,-8.0,88.84,44.0
AZN,ASTRAZENECA PLC ADS,96.0,89.0,88.0,A,-0.3,91.67,-2.0
AER,AERCAP HOLDINGS NV,94.0,91.0,86.0,A,-5.2,131.11,-50.0
"Screen results as of 3:49 PM Eastern, Monday, November 24, 2025",,,,,,,,
"Data provided by William O'Neil + Co., Inc. © 2025. All Rights Reserved.",,,,,,,,
"Investor's Business Daily is a registered trademark of Investor's Business Daily, Inc.",,,,,,,,
Reproduction or redistribution other than for personal non-commercial use is prohibited.,,,,,,,,
Provided by Nasdaq Last Sale. Real-time quote and/or trade prices are not sourced from all markets.,,,,,,,,
