Symbol,Company,Composite,EPS,RS,SMR,OffHigh,Price,Vol
AEM,AGNICO EAGLE MINES LTD,99.0,98.0,93.0,A,-12.1,164.89,-53.0
KGC,KINROSS GOLD CORP,99.0,96.0,96.0,A,-6.9,25.82,-51.0
ORLA,Orla Mining Ltd,99.0,99.0,94.0,A,-10.9,12.4,-62.0
TFPM,Triple Flag Precious Met,99.0,99.0,93.0,A,-6.0,31.27,-58.0
LLY,Eli Lilly & Co,99.0,98.0,93.0,A,-0.1,1064.73,-17.0
GMED,Globus Medical Inc Cl A,98.0,95.0,89.0,B,-7.3,87.83,43.0
HALO,HALOZYME THERAPEUTICS,99.0,98.0,85.0,A,-8.7,72.61,-23.0
FUTU,Futu Holdings Cl A Ads,98.0,99.0,90.0,A,-15.1,171.33,-28.0
PLTR,Palantir TechnologiesClA,99.0,99.0,93.0,A,-21.3,165.04,-21.0
ATAT,Atour Lifestyle Hldgs AD,96.0,98.0,85.0,A,-10.4,37.93,30.0
"Screen results as of 3:50 PM Eastern, Monday, November 24, 2025",,,,,,,,
"Data provided by William O'Neil + Co., Inc. © 2025. All Rights Reserved.",,,,,,,,
"Investor's Business Daily is a registered trademark of Investor's Business Daily, Inc.",,,,,,,,
Reproduction or redistribution other than for personal non-commercial use is prohibited.,,,,,,,,
Provided by Nasdaq Last Sale. Real-time quote and/or trade prices are not sourced from all markets.,,,,,,,,
